request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_224,10327000.0,affordable_now,full_payment,2025-02-04:1.0327e+07,2025-02-04,none,Verified balance 49969400.00 and protected balance 22187600.00 were used; live judgment was unavailable.
request_225,18120459.6,not_affordable,not_recommended,none,,none,Verified balance 35791159.60 and protected balance 17670700.00 were used; live judgment was unavailable.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Verified balance 581180.00 and protected balance 209400.00 were used; live judgment was unavailable.
request_227,42755.0,not_affordable,not_recommended,none,,none,Verified balance 105655.00 and protected balance 62900.00 were used; live judgment was unavailable.
request_228,10557350.0,not_affordable,not_recommended,none,,none,Verified balance 36748550.00 and protected balance 26191200.00 were used; live judgment was unavailable.
request_229,800.52,not_affordable,not_recommended,none,,none,Verified balance 1800.52 and protected balance 1000.00 were used; live judgment was unavailable.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Verified balance 8676.76 and protected balance 2000.00 were used; live judgment was unavailable.
request_231,35706.0,affordable_now,full_payment,2026-01-03:35706,2026-01-03,none,Verified balance 84590.59 and protected balance 24300.00 were used; live judgment was unavailable.
request_232,1869.4,not_affordable,not_recommended,none,,none,Verified balance 4269.40 and protected balance 2400.00 were used; live judgment was unavailable.
request_233,6241000.0,affordable_now,full_payment,2025-11-07:6.241e+06,2025-11-07,none,Verified balance 19341300.00 and protected balance 10365700.00 were used; live judgment was unavailable.
request_234,574.25,not_affordable,not_recommended,none,,none,Verified balance 1274.25 and protected balance 700.00 were used; live judgment was unavailable.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Verified balance 2086.28 and protected balance 700.00 were used; live judgment was unavailable.
request_236,14404850.0,not_affordable,not_recommended,none,,none,Verified balance 31173450.00 and protected balance 16768600.00 were used; live judgment was unavailable.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:2.3826e+07,2026-04-05,none,Verified balance 100824550.00 and protected balance 22431500.00 were used; live judgment was unavailable.
request_238,663.6,affordable_now,full_payment,2024-12-07:663.6,2024-12-07,none,Verified balance 1882.07 and protected balance 700.00 were used; live judgment was unavailable.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Verified balance 1988.90 and protected balance 600.00 were used; live judgment was unavailable.
request_240,39920.0,not_affordable,not_recommended,none,,none,Verified balance 92720.00 and protected balance 52800.00 were used; live judgment was unavailable.
request_241,21052000.0,affordable_now,full_payment,none,2024-03-03,none,"Current available balance 90,172,322.14 minus minimum balance 19,252,000 leaves 70,920,322.14, which exceeds the requested 21,052,000. No pending debits. Therefore the user can afford the full transfer now and no spending changes are required."
request_242,437.4,not_affordable,not_recommended,none,,none,Verified balance 1037.40 and protected balance 600.00 were used; live judgment was unavailable.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Verified balance 47470.40 and protected balance 19900.00 were used; live judgment was unavailable.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Verified balance 126279.20 and protected balance 45900.00 were used; live judgment was unavailable.
request_245,65760.0,not_affordable,not_recommended,none,,none,Verified balance 160360.00 and protected balance 94600.00 were used; live judgment was unavailable.
request_246,64086.0,affordable_now,full_payment,2026-04-03:64086,2026-04-03,none,Verified balance 201692.06 and protected balance 39300.00 were used; live judgment was unavailable.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Verified balance 2819.20 and protected balance 1300.00 were used; live judgment was unavailable.
request_248,1507.36,not_affordable,not_recommended,none,,none,Verified balance 2807.36 and protected balance 1300.00 were used; live judgment was unavailable.
request_249,342.4,not_affordable,not_recommended,none,,none,Verified balance 942.40 and protected balance 600.00 were used; live judgment was unavailable.
request_250,28820.0,not_affordable,not_recommended,none,,none,Verified balance 64120.00 and protected balance 35300.00 were used; live judgment was unavailable.
request_251,1513.6,affordable_now,full_payment,2025-05-03:1513.6,2025-05-03,none,Verified balance 4648.55 and protected balance 1300.00 were used; live judgment was unavailable.
request_252,10098500.0,not_affordable,not_recommended,none,,none,Verified balance 25250700.00 and protected balance 15152200.00 were used; live judgment was unavailable.
request_253,2335.57,not_affordable,not_recommended,none,,none,Verified balance 4635.57 and protected balance 2300.00 were used; live judgment was unavailable.
request_254,1759.6,not_affordable,not_recommended,none,,none,Verified balance 4259.60 and protected balance 2500.00 were used; live judgment was unavailable.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3.345e+06,2026-04-06,none,Verified balance 38518150.00 and protected balance 9813900.00 were used; live judgment was unavailable.
request_256,218700.0,affordable_now,full_payment,2024-06-03:218700,2024-06-03,none,Verified balance 394983.28 and protected balance 168600.00 were used; live judgment was unavailable.
request_257,1085.2,not_affordable,not_recommended,none,,none,Verified balance 2685.20 and protected balance 1600.00 were used; live judgment was unavailable.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Verified balance 2603.68 and protected balance 500.00 were used; live judgment was unavailable.
request_259,669.3,not_affordable,not_recommended,none,,none,Verified balance 1269.30 and protected balance 600.00 were used; live judgment was unavailable.
request_260,15059400.0,not_affordable,not_recommended,none,,none,Verified balance 35787100.00 and protected balance 20727700.00 were used; live judgment was unavailable.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Verified balance 4718.96 and protected balance 1500.00 were used; live judgment was unavailable.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9.236e+06,2024-12-05,none,Verified balance 88406100.00 and protected balance 31018500.00 were used; live judgment was unavailable.
request_263,14718.0,not_affordable,not_recommended,none,,none,Verified balance 38818.00 and protected balance 24100.00 were used; live judgment was unavailable.
request_264,44875.0,not_affordable,not_recommended,none,,none,Verified balance 104375.00 and protected balance 59500.00 were used; live judgment was unavailable.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Verified balance 786105.00 and protected balance 189700.00 were used; live judgment was unavailable.
request_266,935.0,affordable_now,full_payment,2025-08-03:935,2025-08-03,none,Verified balance 2354.92 and protected balance 900.00 were used; live judgment was unavailable.
request_267,1925.0,affordable_now,full_payment,2026-01-05:1925,2026-01-05,none,Verified balance 3648.98 and protected balance 1500.00 were used; live judgment was unavailable.
request_268,1512.52,not_affordable,not_recommended,none,,none,Verified balance 2912.52 and protected balance 1400.00 were used; live judgment was unavailable.
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,Verified balance 45307.90 and protected balance 23100.00 were used; live judgment was unavailable.
request_270,535.4,not_affordable,not_recommended,none,,none,Verified balance 1935.40 and protected balance 1400.00 were used; live judgment was unavailable.
request_271,84760.0,not_affordable,not_recommended,none,,none,Verified balance 142960.00 and protected balance 58200.00 were used; live judgment was unavailable.
request_272,8815924.0,not_affordable,not_recommended,none,,none,Verified balance 16324524.00 and protected balance 7508600.00 were used; live judgment was unavailable.
request_273,13372200.0,not_affordable,not_recommended,none,,none,Verified balance 32146800.00 and protected balance 18774600.00 were used; live judgment was unavailable.
request_274,2713.7,affordable_now,full_payment,2024-12-04:2713.7,2024-12-04,none,Verified balance 4847.31 and protected balance 1800.00 were used; live judgment was unavailable.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:1.5884e+07,2025-05-06,none,Verified balance 37206450.00 and protected balance 12760100.00 were used; live judgment was unavailable.
